startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar1,congestionCar2,congestionCar3,congestionCar4,congestionCar5,congestionCar6,congestionCar7,congestionCar8,congestionCar9,congestionCar10
211,성수역,228,서울대입구역,212,건대입구역,1,0,WED,17,30,0,0,0,0,0,0,0,0,0,0
211,성수역,228,서울대입구역,212,건대입구역,1,0,WED,17,40,0,0,0,0,0,0,0,0,0,0
211,성수역,228,서울대입구역,212,건대입구역,1,0,WED,17,50,0,0,0,0,0,0,0,0,0,0
211,성수역,234,신도림역,212,건대입구역,1,0,WED,17,00,0,0,0,0,0,0,0,0,0,0
211,성수역,234,신도림역,212,건대입구역,1,0,WED,17,10,0,0,0,0,0,0,0,0,0,0
211,성수역,234,신도림역,212,건대입구역,1,0,WED,17,20,0,0,0,0,0,0,0,0,0,0
211,성수역,234,신도림역,212,건대입구역,1,0,WED,17,30,0,0,0,0,0,0,0,0,0,0
211,성수역,234,신도림역,212,건대입구역,1,0,WED,17,40,0,0,0,0,0,0,0,0,0,0
211,성수역,234,신도림역,212,건대입구역,1,0,WED,17,50,0,0,0,0,0,0,0,0,0,0
211,성수역,239,홍대입구역,212,건대입구역,1,0,WED,17,00,0,0,0,0,0,0,0,0,0,0
211,성수역,239,홍대입구역,212,건대입구역,1,0,WED,17,10,0,0,0,0,0,0,0,0,0,0
211,성수역,239,홍대입구역,212,건대입구역,1,0,WED,17,20,0,0,0,0,0,0,0,0,0,0
211,성수역,239,홍대입구역,212,건대입구역,1,0,WED,17,30,0,0,0,0,0,0,0,0,0,0
211,성수역,239,홍대입구역,212,건대입구역,1,0,WED,17,40,0,0,0,0,0,0,0,0,0,0
211,성수역,239,홍대입구역,212,건대입구역,1,0,WED,17,50,0,0,0,0,0,0,0,0,0,0
219,삼성역,211-R,성수역,214,강변역,0,0,WED,17,00,0,0,0,0,0,0,0,0,0,0
219,삼성역,211-R,성수역,214,강변역,0,0,WED,17,10,0,0,0,0,0,0,0,0,0,0
219,삼성역,211-R,성수역,214,강변역,0,0,WED,17,20,0,0,0,0,0,0,0,0,0,0
219,삼성역,211-R,성수역,214,강변역,0,0,WED,17,30,0,0,0,0,0,0,0,0,0,0
219,삼성역,211-R,성수역,214,강변역,0,0,WED,17,40,0,0,0,0,0,0,0,0,0,0
219,삼성역,211-R,성수역,214,강변역,0,0,WED,17,50,0,0,0,0,0,0,0,0,0,0
228,서울대입구역,211,성수역,214,강변역,0,0,WED,17,00,33,46,51,46,44,42,52,44,31,31
228,서울대입구역,211,성수역,214,강변역,0,0,WED,17,10,38,61,57,55,53,58,70,56,42,39
228,서울대입구역,211,성수역,214,강변역,0,0,WED,17,20,38,57,53,49,53,65,72,58,43,42
228,서울대입구역,211,성수역,214,강변역,0,0,WED,17,30,43,55,58,53,52,60,69,55,44,40
228,서울대입구역,211,성수역,214,강변역,0,0,WED,17,40,45,49,51,59,50,49,60,51,44,41
228,서울대입구역,211,성수역,214,강변역,0,0,WED,17,50,61,69,73,65,63,79,84,74,50,51
228,서울대입구역,211-R,성수역,214,강변역,0,0,WED,17,00,0,0,0,0,0,0,0,0,0,0
228,서울대입구역,211-R,성수역,214,강변역,0,0,WED,17,10,0,0,0,0,0,0,0,0,0,0
228,서울대입구역,211-R,성수역,214,강변역,0,0,WED,17,20,0,0,0,0,0,0,0,0,0,0
228,서울대입구역,211-R,성수역,214,강변역,0,0,WED,17,30,0,0,0,0,0,0,0,0,0,0
228,서울대입구역,211-R,성수역,214,강변역,0,0,WED,17,40,0,0,0,0,0,0,0,0,0,0
228,서울대입구역,211-R,성수역,214,강변역,0,0,WED,17,50,0,0,0,0,0,0,0,0,0,0
234,신도림역,211,성수역,214,강변역,0,0,WED,17,00,0,0,0,0,0,0,0,0,0,0
234,신도림역,211,성수역,214,강변역,0,0,WED,17,10,0,0,0,0,0,0,0,0,0,0
234,신도림역,211,성수역,214,강변역,0,0,WED,17,20,0,0,0,0,0,0,0,0,0,0
234,신도림역,211,성수역,214,강변역,0,0,WED,17,30,0,0,0,0,0,0,0,0,0,0
234,신도림역,211,성수역,214,강변역,0,0,WED,17,40,0,0,0,0,0,0,0,0,0,0
234,신도림역,211,성수역,214,강변역,0,0,WED,17,50,0,0,0,0,0,0,0,0,0,0
234,신도림역,211-R,성수역,214,강변역,0,0,WED,17,00,47,65,72,66,63,61,74,62,45,44
234,신도림역,211-R,성수역,214,강변역,0,0,WED,17,10,43,69,64,63,60,66,80,63,48,45
234,신도림역,211-R,성수역,214,강변역,0,0,WED,17,20,44,66,61,56,61,75,83,67,49,48
234,신도림역,211-R,성수역,214,강변역,0,0,WED,17,30,24,31,33,30,30,34,39,31,25,23
234,신도림역,211-R,성수역,214,강변역,0,0,WED,17,40,0,0,0,0,0,0,0,0,0,0
234,신도림역,211-R,성수역,214,강변역,0,0,WED,17,50,45,51,55,49,47,59,63,55,37,38
239,홍대입구역,211,성수역,214,강변역,0,0,WED,17,00,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211,성수역,214,강변역,0,0,WED,17,10,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211,성수역,214,강변역,0,0,WED,17,20,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211,성수역,214,강변역,0,0,WED,17,30,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211,성수역,214,강변역,0,0,WED,17,40,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211,성수역,214,강변역,0,0,WED,17,50,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211-R,성수역,214,강변역,0,0,WED,17,00,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211-R,성수역,214,강변역,0,0,WED,17,10,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211-R,성수역,214,강변역,0,0,WED,17,20,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211-R,성수역,214,강변역,0,0,WED,17,30,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211-R,성수역,214,강변역,0,0,WED,17,40,0,0,0,0,0,0,0,0,0,0
239,홍대입구역,211-R,성수역,214,강변역,0,0,WED,17,50,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211,성수역,214,강변역,0,0,WED,18,00,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211,성수역,214,강변역,0,0,WED,18,10,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211,성수역,214,강변역,0,0,WED,18,20,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211,성수역,214,강변역,0,0,WED,18,30,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211,성수역,214,강변역,0,0,WED,18,40,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211,성수역,214,강변역,0,0,WED,18,50,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211-R,성수역,214,강변역,0,0,WED,18,00,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211-R,성수역,214,강변역,0,0,WED,18,10,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211-R,성수역,214,강변역,0,0,WED,18,20,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211-R,성수역,214,강변역,0,0,WED,18,30,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211-R,성수역,214,강변역,0,0,WED,18,40,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211-R,성수역,214,강변역,0,0,WED,18,50,0,0,0,0,0,0,0,0,0,0
211,성수역,202,을지로입구역,212,건대입구역,1,0,WED,18,00,0,0,0,0,0,0,0,0,0,0
211,성수역,202,을지로입구역,212,건대입구역,1,0,WED,18,10,0,0,0,0,0,0,0,0,0,0
211,성수역,202,을지로입구역,212,건대입구역,1,0,WED,18,20,0,0,0,0,0,0,0,0,0,0
211,성수역,202,을지로입구역,212,건대입구역,1,0,WED,18,30,0,0,0,0,0,0,0,0,0,0
211,성수역,202,을지로입구역,212,건대입구역,1,0,WED,18,40,0,0,0,0,0,0,0,0,0,0
211,성수역,202,을지로입구역,212,건대입구역,1,0,WED,18,50,0,0,0,0,0,0,0,0,0,0
211,성수역,211,성수역,214,강변역,0,0,WED,18,00,0,0,0,0,0,0,0,0,0,0
211,성수역,211,성수역,214,강변역,0,0,WED,18,10,0,0,0,0,0,0,0,0,0,0
211,성수역,211,성수역,214,강변역,0,0,WED,18,20,0,0,0,0,0,0,0,0,0,0
211,성수역,211,성수역,214,강변역,0,0,WED,18,30,0,0,0,0,0,0,0,0,0,0
211,성수역,211,성수역,214,강변역,0,0,WED,18,40,0,0,0,0,0,0,0,0,0,0
211,성수역,211,성수역,214,강변역,0,0,WED,18,50,0,0,0,0,0,0,0,0,0,0
211,성수역,211,성수역,212,건대입구역,1,0,WED,18,00,69,80,92,81,68,74,92,81,78,75
211,성수역,211,성수역,212,건대입구역,1,0,WED,18,10,68,77,81,86,73,86,82,78,84,77
211,성수역,211,성수역,212,건대입구역,1,0,WED,18,20,63,65,69,73,69,69,81,73,74,85
211,성수역,211,성수역,212,건대입구역,1,0,WED,18,30,68,75,80,98,84,75,98,101,82,98
211,성수역,211,성수역,212,건대입구역,1,0,WED,18,40,73,79,81,84,77,82,96,94,80,74
211,성수역,211,성수역,212,건대입구역,1,0,WED,18,50,47,49,53,56,53,57,64,65,42,54
211,성수역,211-R,성수역,214,강변역,0,0,WED,18,00,52,70,58,59,57,69,62,60,45,38
211,성수역,211-R,성수역,214,강변역,0,0,WED,18,10,74,70,76,68,70,72,78,77,50,54
211,성수역,211-R,성수역,214,강변역,0,0,WED,18,20,82,96,98,92,108,111,117,93,82,81
211,성수역,211-R,성수역,214,강변역,0,0,WED,18,30,68,78,86,87,69,76,88,79,64,65
211,성수역,211-R,성수역,214,강변역,0,0,WED,18,40,50,55,62,59,55,60,69,68,47,54
211,성수역,211-R,성수역,214,강변역,0,0,WED,18,50,39,46,46,45,44,48,57,48,36,41
211,성수역,211-R,성수역,212,건대입구역,1,0,WED,18,00,42,49,56,49,41,45,56,49,47,45
211,성수역,211-R,성수역,212,건대입구역,1,0,WED,18,10,39,44,46,49,41,49,47,45,48,44
211,성수역,211-R,성수역,212,건대입구역,1,0,WED,18,20,48,49,53,56,53,53,62,56,56,65
211,성수역,211-R,성수역,212,건대입구역,1,0,WED,18,30,47,51,55,67,58,52,67,69,57,67
211,성수역,211-R,성수역,212,건대입구역,1,0,WED,18,40,44,47,48,50,46,49,58,56,48,44
211,성수역,211-R,성수역,212,건대입구역,1,0,WED,18,50,40,42,45,48,45,48,54,56,36,46
211,성수역,219,삼성역,212,건대입구역,1,0,WED,18,00,0,0,0,0,0,0,0,0,0,0
